wl,n,k
0.19241499299999998,1.684937,0.828499
0.194001999,1.696489,0.836699
0.195589081,1.706519,0.840777
0.19717617799999998,1.71445,0.842606
0.198763351,1.7202830000000002,0.8435940000000001
0.200350571,1.7243650000000001,0.84483
0.201937836,1.7273479999999999,0.8471280000000001
0.203525162,1.7302389999999999,0.8507600000000001
0.205112518,1.733645,0.8553149999999999
0.20669992099999998,1.737742,0.8604379999999999
0.20828739899999998,1.7425689999999998,0.8658610000000001
0.209874908,1.7480900000000001,0.8713780000000001
0.211462448,1.754211,0.8768290000000001
0.21305004900000002,1.760775,0.882114
0.21463769500000002,1.767612,0.8872770000000001
0.216225388,1.77467,0.89241
0.217813141,1.781942,0.8975799999999999
0.219400925,1.7894459999999999,0.9028360000000001
0.22098877000000003,1.7972110000000001,0.9082129999999999
0.22257663,1.805277,0.9137350000000001
0.224164581,1.8136990000000002,0.9194129999999999
0.225752533,1.822541,0.9252229999999999
0.22734054599999998,1.8318349999999999,0.931113
0.228928619,1.841592,0.937042
0.230516693,1.8518130000000002,0.942973
0.232104858,1.862497,0.9488770000000001
0.233693039,1.873635,0.954727
0.235281281,1.885218,0.960501
0.23686953700000002,1.8972259999999999,0.966183
0.238457855,1.9096349999999997,0.971784
0.240046219,1.922447,0.977332
0.241634598,1.935687,0.982849
0.243223053,1.9493919999999998,0.988346
0.244811523,1.9636049999999998,0.993825
0.24640005499999998,1.978375,0.9992850000000001
0.247988602,1.9937599999999998,1.004715
0.249577194,2.009832,1.010097
0.251165848,2.02668,1.015399
0.252754517,2.044425,1.020528
0.254343231,2.063112,1.025328
0.25593200699999996,2.082735,1.029669
0.25752081299999996,2.103268,1.033444
0.25910964999999997,2.12468,1.036564
0.26069851699999996,2.146939,1.038956
0.262287415,2.17002,1.040554
0.263876373,2.1939040000000003,1.041301
0.26546536299999995,2.2185919999999997,1.041142
0.267054382,2.244118,1.040017
0.26864343300000004,2.270586,1.037796
0.270232513,2.298003,1.034189
0.27182165499999994,2.326233,1.028952
0.273410828,2.355094,1.0218969999999998
0.275000031,2.384386,1.01288
0.276589264,2.4138900000000003,1.0017909999999999
0.278178528,2.4433830000000003,0.988547
0.279767822,2.4726310000000002,0.973088
0.281357147,2.501387,0.9553729999999999
0.282946533,2.529387,0.935375
0.28453595000000004,2.556332,0.9130879999999999
0.28612536600000005,2.58184,0.888534
0.28771484399999997,2.605429,0.8619600000000001
0.289304352,2.626866,0.833807
0.29089386,2.6460779999999997,0.8044399999999999
0.292483459,2.663052,0.7741680000000001
0.29407302900000004,2.677809,0.743254
0.29566265899999994,2.6903919999999997,0.711928
0.297252319,2.700857,0.680397
0.29884201,2.7092709999999998,0.648844
0.300431732,2.715711,0.6174350000000001
0.302021484,2.7202610000000003,0.586322
0.303611267,2.723013,0.555646
0.30520105000000003,2.724069,0.525536
0.306790894,2.723547,0.49611000000000005
0.30838076799999997,2.7215990000000003,0.467463
0.309970642,2.7183650000000004,0.439619
0.311560577,2.713943,0.412592
0.313150543,2.708411,0.386402
0.314740509,2.701841,0.36106900000000003
0.316330505,2.694301,0.33661399999999997
0.317920532,2.685854,0.313064
0.31951059,2.67656,0.290439
