wl,n,k
0.2,3.5839199999999996,0.5754600000000001
0.404,3.5839199999999996,0.5754600000000001
0.409,3.5318199999999997,0.54472
0.414,3.48279,0.51562
0.419,3.4366199999999996,0.48808
0.424,3.3931,0.462
0.429,3.35206,0.43732
0.434,3.3133199999999996,0.41396000000000005
0.439,3.27674,0.39185
0.444,3.24217,0.37091999999999997
0.449,3.20947,0.3511
0.454,3.17853,0.33235
0.459,3.1492400000000003,0.31459000000000004
0.464,3.12149,0.29779
0.469,3.09518,0.28188
0.474,3.07022,0.26682
0.479,3.0465400000000002,0.25256999999999996
0.484,3.02405,0.23908000000000001
0.489,3.00268,0.2263
0.494,2.98236,0.21420999999999998
0.499,2.9630400000000003,0.20277
0.504,2.94466,0.19194
0.509,2.92715,0.18169000000000002
0.514,2.9104799999999997,0.17198
0.519,2.89459,0.16279000000000002
0.524,2.8794299999999997,0.1541
0.529,2.86498,0.14587
0.534,2.8511900000000003,0.13807
0.539,2.83802,0.1307
0.544,2.82544,0.12372000000000001
0.549,2.8134200000000003,0.11710999999999999
0.554,2.80193,0.11085
0.559,2.79094,0.10493
0.564,2.78042,0.09932
0.569,2.7703599999999997,0.09402
0.574,2.76072,0.08900000000000001
0.579,2.75149,0.08424
0.584,2.74264,0.07973999999999999
0.589,2.7341599999999997,0.07547999999999999
0.594,2.72602,0.07145
0.599,2.71822,0.06763
0.604,2.71073,0.06402000000000001
0.609,2.7035400000000003,0.0606
0.614,2.69664,0.05736
0.619,2.69001,0.0543
0.624,2.68363,0.0514
0.629,2.67751,0.04865
0.634,2.67161,0.04605
0.639,2.66594,0.04359
0.644,2.6604900000000002,0.041260000000000005
0.649,2.65524,0.039060000000000004
0.654,2.6501900000000003,0.036969999999999996
0.659,2.64532,0.035
0.664,2.64063,0.03313
0.669,2.63611,0.03136
0.674,2.63175,0.02968
0.679,2.62755,0.0281
0.684,2.6235,0.0266
0.689,2.61959,0.02518
0.694,2.6158200000000003,0.02383
0.699,2.61218,0.02256
0.8,2.61218,0.02256
